Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00  130816/130816      double const& std::max<double>(double const&, double const&) [47]
-----------------------------------------------
                0.00    0.00      10/1178879     void std::vector<Vector, std::allocator<Vector> >::_M_realloc_insert<Vector const&>(__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, Vector const&) [18]
                0.00    0.00     502/1178879     std::vector<Vector, std::allocator<Vector> >::push_back(Vector const&) [16]
                0.00    0.00    1023/1178879     void std::_Construct<Vector, Vector const&>(Vector*, Vector const&) [15]
                0.08    0.00  130816/1178879     Analysis::pearson(Vector, Vector) [3]
                0.15    0.00  261632/1178879     Vector::magnitude() const [7]
                0.15    0.00  261632/1178879     Vector::operator/(double) [8]
                0.15    0.00  261632/1178879     Vector::operator-(double) [6]
                0.15    0.00  261632/1178879     Analysis::correlation_coefficients(std::vector<Vector, std::allocator<Vector> >) [2]
[4]     45.1    0.69    0.00 1178879         Vector::Vector(Vector const&) [4]
                0.00    0.00 1178879/1179391     Vector::Vector(unsigned int) [35]
-----------------------------------------------
                0.41    0.00  261632/261632      Analysis::pearson(Vector, Vector) [3]
[5]     26.8    0.41    0.00  261632         Vector::mean() const [5]
-----------------------------------------------
                0.09    0.19  261632/261632      Analysis::pearson(Vector, Vector) [3]
[6]     18.1    0.09    0.19  261632         Vector::operator-(double) [6]
                0.15    0.00  261632/1178879     Vector::Vector(Vector const&) [4]
                0.03    0.00 133955584/468844544     Vector::operator[](unsigned int) [10]
-----------------------------------------------
                0.00    0.25  261632/261632      Analysis::pearson(Vector, Vector) [3]
[7]     16.2    0.00    0.25  261632         Vector::magnitude() const [7]
                0.15    0.00  261632/1178879     Vector::Vector(Vector const&) [4]
                0.06    0.03  261632/392448      Vector::dot(Vector) const [9]
                0.00    0.00  261632/1179391     Vector::~Vector() [36]
-----------------------------------------------
                0.05    0.19  261632/261632      Analysis::pearson(Vector, Vector) [3]
[8]     15.5    0.05    0.19  261632         Vector::operator/(double) [8]
                0.15    0.00  261632/1178879     Vector::Vector(Vector const&) [4]
                0.03    0.00 133955584/468844544     Vector::operator[](unsigned int) [10]
-----------------------------------------------
                0.03    0.02  130816/392448      Analysis::pearson(Vector, Vector) [3]
                0.06    0.03  261632/392448      Vector::magnitude() const [7]
[9]      9.2    0.09    0.05  392448         Vector::dot(Vector) const [9]
                0.05    0.00 200933376/468844544     Vector::operator[](unsigned int) [10]
-----------------------------------------------
                0.03    0.00 133955584/468844544     Vector::operator/(double) [8]
                0.03    0.00 133955584/468844544     Vector::operator-(double) [6]
                0.05    0.00 200933376/468844544     Vector::dot(Vector) const [9]
[10]     7.8    0.12    0.00 468844544         Vector::operator[](unsigned int) [10]
-----------------------------------------------
                                                 <spontaneous>
[11]     3.3    0.05    0.00                 Vector::operator[](unsigned int) const [11]
-----------------------------------------------
                0.01    0.00  130816/130816      Analysis::correlation_coefficients(std::vector<Vector, std::allocator<Vector> >) [2]
[12]     0.7    0.01    0.00  130816         std::vector<double, std::allocator<double> >::push_back(double const&) [12]
                0.00    0.00  261596/261650      double const& std::forward<double const&>(std::remove_reference<double const&>::type&) [39]
                0.00    0.00  130798/132351      operator new(unsigned long, void*) [42]
                0.00    0.00      18/18          std::vector<double, std::allocator<double> >::end() [92]
                0.00    0.00      18/18          void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&) [91]
-----------------------------------------------
                0.01    0.00       1/1           main [1]
[13]     0.7    0.01    0.00       1         Dataset::write(std::vector<double, std::allocator<double> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [13]
